id,Pos,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
19,3,Willock,59,59,NEW,74,2.683,69,2.493,68,2.277,71,2.443,69,2.679
291,3,Shelvey,53,53,NEW,5,0.182,4,0.144,5,0.17,7,0.247,6,0.233
292,2,Ritchie,49,49,NEW,87,2.918,83,2.737,84,2.072,81,2.411,80,3.288
293,2,Clark,44,44,NEW,66,1.978,64,1.884,61,1.383,60,1.612,64,2.339
294,1,Darlow,45,45,NEW,84,3.157,56,2.09,25,0.878,1,0.037,4,0.161
295,1,Dubravka,44,44,NEW,5,0.188,33,1.232,63,2.21,88,3.206,85,3.41
296,4,Wilson,73,73,NEW,82,4.462,77,4.046,75,3.425,73,3.665,75,4.464
297,3,Hendrick,48,48,NEW,3,0.13,1,0.042,3,0.127,4,0.176,5,0.23
298,3,Fraser,54,54,NEW,30,1.531,29,1.442,30,1.373,38,1.753,35,1.852
299,2,Lascelles,44,44,NEW,84,2.886,78,2.632,79,2.017,80,2.411,76,3.18
300,4,Gayle,53,53,NEW,6,0.367,5,0.309,5,0.277,5,0.292,6,0.395
301,2,Dummett,45,45,NEW,0,0,0,0,0,0,0,0,0,0
302,2,Manquillo,40,40,NEW,69,2.599,62,2.314,67,1.919,61,2.082,61,2.753
303,2,Krafth,44,44,NEW,0,0,1,0.039,1,0.036,3,0.115,3,0.129
304,3,Murphy,50,50,NEW,22,0.964,28,1.15,22,0.895,26,1.047,27,1.163
305,2,Schär,43,43,NEW,2,0.083,6,0.215,4,0.13,8,0.258,8,0.323
306,3,Hayden,45,45,NEW,73,2.233,74,2.221,74,2.071,70,2.058,73,2.346
307,4,Saint-Maximin,68,68,NEW,72,2.981,68,2.826,67,2.512,62,2.509,63,2.892
308,3,Almirón,54,54,NEW,16,0.667,58,2.206,58,2.016,53,1.979,55,2.293
309,3,S.Longstaff,45,45,NEW,70,2.431,64,2.216,65,2.083,62,2.089,62,2.329
310,4,Joelinton,58,58,NEW,66,2.541,53,2.119,55,2.035,58,2.214,57,2.451
311,2,Lewis,43,43,NEW,2,0.056,5,0.142,5,0.12,8,0.224,8,0.277
312,3,M.Longstaff,45,45,NEW,0,0,0,0,0,0,0,0,0,0
465,2,Fernández,44,44,NEW,60,1.795,63,1.849,62,1.412,58,1.565,57,2.062
513,1,Woodman,45,45,NEW,0,0,0,0,0,0,0,0,0,0
514,1,Gillespie,40,40,NEW,0,0,0,0,0,0,0,0,0,0
599,3,White,45,45,NEW,0,0,0,0,0,0,0,0,0,0
609,3,Anderson,45,45,NEW,0,0,0,0,0,0,0,0,0,0
145,3,Gilmour,44,44,NOR,40,1.515,41,1.335,43,1.585,50,1.695,41,1.564
290,2,Williams,40,40,NOR,26,0.978,40,0.764,33,1.19,39,1.238,35,1.366
313,1,McGovern,40,40,NOR,0,0,0,0,0,0,0,0,0,0
314,1,Krul,45,45,NOR,89,3.365,88,3.003,88,3.289,88,3.17,88,3.468
315,4,Pukki,59,59,NOR,79,4.286,76,2.904,71,3.919,72,3.453,73,4.14
316,3,Stiepermann,50,50,NOR,0,0,0,0,0,0,0,0,0,0
317,3,Rupp,45,45,NOR,6,0.27,10,0.422,10,0.462,13,0.575,16,0.741
318,3,McLean,49,49,NOR,73,2.666,73,2.124,72,2.66,68,2.324,69,2.63
319,2,Hanley,44,44,NOR,85,2.563,83,1.106,76,2.219,77,1.979,78,2.54
320,3,Hernández,49,49,NOR,0,0,0,0,0,0,0,0,0,0
