rank,prev_rank,name,league,off,def,spi
290,285.0,St. Truidense,Belgian Jupiler League,1.12,1.31,40.78
291,282.0,Kasimpasa,Turkish Turkcell Super Lig,1.35,1.6,40.53
292,289.0,Slovan Bratislava,UEFA Europa Conference League,1.16,1.37,40.52
293,,Botafogo,Brasileiro Série A,1.21,1.43,40.48
294,306.0,Blackpool,English League Championship,1.13,1.34,40.47
295,296.0,Banfield,Argentina Primera Division,1.01,1.22,40.1
296,298.0,Huracán,Argentina Primera Division,1.02,1.24,40.05
297,318.0,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.21,1.46,40.03
298,,Coritiba,Brasileiro Série A,1.19,1.44,40.01
299,294.0,FC Dallas,Major League Soccer,1.34,1.61,39.9
300,302.0,Girona FC,Spanish Segunda Division,1.08,1.32,39.73
301,279.0,AGF Aarhus,Danish SAS-Ligaen,1.17,1.42,39.72
302,303.0,OH Leuven,Belgian Jupiler League,1.35,1.63,39.7
303,309.0,Cambuur Leeuwarden,Dutch Eredivisie,1.46,1.77,39.7
304,304.0,Valerenga,Norwegian Tippeligaen,1.23,1.5,39.7
305,293.0,Necaxa,Mexican Primera Division Torneo Clausura,1.16,1.41,39.69
