id,first_name,second_name,team,Top_100,Top_1K,Top_10K,Top_50K,Top_100K,Top_250K,Top_500K
543,Scott,Banks,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,Remi,Matthews,7,0.0,1.6,0.1,0.6,0.33999999999999997,0.5866666666666667,0.624
586,Odsonne,Edouard,7,0.0,0.8,0.3,0.22499999999999998,0.24,0.3933333333333333,0.672
709,Tayo,Adaramola,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Anwar,El Ghazi,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Fabian,Delph,8,0.0,0.0,0.2,0.5499999999999999,0.45999999999999996,0.6333333333333333,0.628
164,Gylfi,Sigurdsson,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,Seamus,Coleman,8,0.0,0.2,0.05,0.125,0.22,0.2866666666666667,0.528
166,James,Rodríguez,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,Bernard,Anício Caldeira Duarte,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,Michael,Keane,8,0.0,0.6,0.05,0.35000000000000003,0.36,0.38666666666666666,0.7040000000000001
170,Jordan,Pickford,8,5.333333333333334,6.4,3.35,3.4250000000000003,3.32,2.9466666666666663,2.804
171,Allan,Marques Loureiro,8,0.0,0.0,0.0,0.05,0.08,0.22,0.336
172,André Filipe,Tavares Gomes,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004
173,Abdoulaye,Doucouré,8,0.0,0.0,0.0,0.0,0.0,0.04,0.044000000000000004
174,Alex,Iwobi,8,0.0,0.0,0.0,0.0,0.02,0.0,0.016
175,Yerry,Mina,8,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.004
176,Tom,Davies,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Dominic,Calvert-Lewin,8,0.0,0.4,0.2,0.375,0.27999999999999997,0.24666666666666665,0.3
178,Mason,Holgate,8,2.666666666666667,1.7999999999999998,1.6500000000000001,1.275,0.86,0.8,0.736
179,Ben,Godfrey,8,0.0,0.0,0.2,0.075,0.04,0.05333333333333334,0.068
180,Richarlison,de Andrade,8,9.333333333333334,6.0,6.0,5.025,6.0,6.033333333333333,6.068
181,João,Virgínia,8,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.07200000000000001
282,Donny,van de Beek,8,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
363,Bamidele,Alli,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Asmir,Begović,8,0.0,0.2,0.05,0.075,0.18,0.27999999999999997,0.5680000000000001
482,Andros,Townsend,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004
484,Demarai,Gray,8,0.0,0.0,0.05,0.025,0.13999999999999999,0.37333333333333335,0.536
502,Jonjoe,Kenny,8,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.032
503,Anthony,Gordon,8,25.333333333333336,20.0,20.200000000000003,19.650000000000002,18.64,16.826666666666668,13.032
504,Jean-Philippe,Gbamin,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,Jarrad,Branthwaite,8,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.04
545,Nathan,Broadhead,8,0.0,0.0,0.0,0.0,0.0,0.0,0.004
564,Moise,Kean,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
